So.,1955-10-09 00:00:00,Unnamed: 2,Unnamed: 3,3,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,12,13,Unnamed: 15,Unnamed: 16,16,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,23,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,41,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52
So.,1957-10-27,,2.0,,4.0,,,,,9.0,,,,,,,,,18.0,,,,22.0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
So.,1957-11-03,,,3.0,,,,,,,,11.0,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,45.0,46.0,,,49.0,,
So.,1957-11-10,,,,,,,,,,,,,,,,16.0,,,,20.0,,,,24.0,,,,,,30.0,,,,,,,,,,,,,,,45.0,46.0,,,,,
So.,1957-11-17,,,,,,,,8.0,,,,,,,,,,,,20.0,,22.0,,24.0,,,,,,,,,,34.0,,,,,,,,,,,,,,,49.0,,
So.,1957-11-24,1.0,,3.0,,,,,,,,,,,14.0,,,,,,,,,23,,25.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,
So.,1957-12-01,,,,,,,,,9.0,,11.0,,,,,,,,,,,,,,,26.0,27.0,,,,,,,,,36.0,,,,,,,,,,46.0,,,,,
So.,1957-12-08,,,3.0,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,32.0,,,,,,,,,,,43.0,,45.0,,47.0,,,,
So.,1957-12-15,,,,,,,7.0,,,,11.0,,,,,,,18.0,,,,22.0,,,,,27.0,,,,,,,,,,,,39.0,,,,,,,,,,,,
So.,1957-12-22,,,,4.0,,,7.0,,,,,,,,,,,,,,,22.0,23,,,,,28.0,,,,,33.0,,,,,,,,,,,,,,,,,,
So.,1957-12-29,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,34.0,,36.0,,,,,,,,,45.0,46.0,47.0,,,,
So.,1958-01-05,,,,,,6.0,,,,10.0,,,,,15.0,,,,,,21.0,,,,,,,,,,,,,,,36.0,,,,,,,,44.0,,,,,,,
So.,1958-01-12,,,,,,,,,9.0,,,,,,,,,,19.0,,,22.0,23,,,,,,,,,,,,,36.0,37.0,,,,,,,,,,,,,,
So.,1958-01-19,,,3.0,,,,,,,,,12.0,,14.0,,,,,,,,,,,,,,,,30.0,,32.0,,34.0,,,,,,,,,,,,,,,,,
So.,1958-01-26,,,,4.0,,6.0,7.0,,,,,,,,,,,,,,,,23,,,,27.0,,,,,,,,,,,,,,41.0,,,,,,,,,,
So.,1958-02-02,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,38.0,39.0,,,,,,,46.0,,48.0,,,
So.,1958-02-09,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,30.0,,,,,,,37.0,,,40.0,,,43.0,,45.0,,,,,,
So.,1958-02-16,,,,,,,,8.0,,,,,,,15.0,,,,,,21.0,,,,,,,,,,,,,,,36.0,37.0,,,,,,,,45.0,,,,,,
So.,1958-02-23,,2.0,3.0,,,,,,,,,12.0,,,,,17.0,,19.0,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,
So.,1958-03-02,,,,,,,,,9.0,,11.0,,,,,,,,,,21.0,,,24.0,,,27.0,,,,,,,,,,,,,,,,,,,,,48.0,,,
So.,1958-03-09,,,,,5.0,,,,,10.0,11.0,,,,,,,,,20.0,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,49.0,,
So.,1958-03-16,,2.0,,,,6.0,,8.0,,,,,,,,,17.0,18.0,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,
